Exercise Name,MainMuscleGroup,DetailedMuscleGroup,OtherMuscleGroups,Type,Mechanics,Equipment,Difficulty,InstructionText,PIC_NO,Link
Barbell Shrug,Shoulders,Traps,"Glutes , Abs",Olympic Weight Lifting,Compound,Barbell,Expert,Targeted Muscle Group,"['1616', '1617', '1618', '1619']",https://www.jefit.com/exercises/11/Barbell-Shrug
Barbell Squat,Upper Legs,,"Glutes , Lower Legs",Strength,Compound,Barbell,Intermediate,"Steps :
_x000D_
1.) This is a variation of the regular squat in which rather than squatting till your thighs are parallel with the floor, you squat down as low as you possibly can letting your glutes and hamstrings get more into the exercise.
_x000D_
2.) Start off by setting up a weighted barbell with the amount of weight that you would like to perform for this exercise.
_x000D_
3.) Then position the bar on your shoulder blades with an overhand shoulder width grip just as in a regular squat position.
_x000D_
4.) Bend at your knees and slowly lower yourself towards the ground, squatting down as far as possible and squeezing your squads.
_x000D_
5.) Hold for a count then return back up to the starting position.
_x000D_
6.) Repeat for as many reps and sets as desired.","['4892', '4893']",https://www.jefit.com/exercises/12/Barbell-Squat
Barbell Up Right Row,Upper Legs,,"Back , Shoulders",Olympic Weight Lifting,Compound,Barbell,Intermediate,Targeted Muscle Group,"['3616', '3617', '3618', '3619']",https://www.jefit.com/exercises/13/Barbell-Up-Right-Row
Cable Cross Over,Upper Legs,,"Back , Shoulders",Olympic Weight Lifting,Compound,"Barbell , Others",Expert,Targeted Muscle Group,"['3680', '3681', '3682', '3683']",https://www.jefit.com/exercises/14/Cable-Cross-Over
Cable Flat Bench Fly,Shoulders,,Biceps,Strength,Compound,Barbell,Intermediate,"Steps :
_x000D_
1.) Start off setting up a weighted barbell in front of you, keeping your feet shoulder width apart and bend down so that your back is parallel to the floor.
_x000D_
2.) Extend your arms down towards the floor, grab the barbell with an overhand grip and bring it to shin level.
_x000D_
3.) Slowly pull the barbell up towards your neck, feeling a stretch in your shoulders and hold for a count.
_x000D_
4.) Return back to the starting position.
_x000D_
5.) Repeat for as many reps and sets as desired.","['4540', '4541']",https://www.jefit.com/exercises/15/Cable-Flat-Bench-Fly
Cable Front Raise,Back,Traps,"Biceps , Shoulders",Strength,Compound,Barbell,Intermediate,"The Barbell Reverse Grip Bent Over Row is an excellent exercise for developing overall back strength.
_x000D_
Steps : 
_x000D_
1.) Start off by keeping your knees slightly bent and your back straight.
_x000D_
2.) Grab the barbell with a reverse (underhand) grip and pick up the barbell so it is at around shin level.
_x000D_
3.) While keeping yourself bent and balanced, slowly pull the barbell up to your abs, and keeping your elbows tucked in at your sides.
_x000D_
4.) Once you have reached the top of the exercise, hold for a count, squeezing your back and return back to the starting position.
_x000D_
5.) Repeat for as many reps and sets as desired.
_x000D_
Tips : 
_x000D_
1.) It is important to keep your back straight when you perform this exercise and if your back starts to round out, bend your knees slightly to keep it straight.","['36', '37']",https://www.jefit.com/exercises/16/Cable-Front-Raise
Cable Incline Fly,Biceps,,,Strength,Isolation,"EZ Curl Bar , Machine - Strength",Intermediate,"Steps :
_x000D_
1.) Start off setting up either weighted barbell or EZ bar with the weight that you would like to use to perform this exercise.
_x000D_
2.) Then sit down on the bench with your feet flat on the floor and arms extended out grabbing onto the bar with an overhand reverse grip.
_x000D_
3.) Slowly curl the bar up towards your shoulders, isolating and squeezing your shoulders, and hold for a count.
_x000D_
4.) Return back to the starting position.
_x000D_
5.) Repeat for as many reps and sets as desired.","['440', '441']",https://www.jefit.com/exercises/17/Cable-Incline-Fly
Cable Internal Rotation,Shoulders,,Triceps,Strength,Compound,"Barbell , Bench",Intermediate,Targeted Muscle Group,"['4616', '4617', '4618']",https://www.jefit.com/exercises/18/Cable-Internal-Rotation
Cable Lateral Raise,Forearm,,,Strength,Isolation,"Barbell , Bench",Beginner,"Steps : 
_x000D_
1.) Start out by placing the barbell on the floor in front of a flat bench.
_x000D_
2.) Sit down on the bench with your legs shoulder width apart.
_x000D_
3.) Use your hands to grab the barbell and bring it up so that your forearms are resting against your thighs with palms downward. 
_x000D_
4.) Start out by curling your wrist upwards and exhaling.
_x000D_
5.) Slowly lower your wrist back down to the starting position while inhaling. (Do not move your arms or legs during the exercise.)
_x000D_
6.) Repeat for the desired amount of reps.","['504', '505']",https://www.jefit.com/exercises/19/Cable-Lateral-Raise
Cable Rear Lateral Raise,Triceps,Upper Chest,,Strength,Isolation,"Barbell , Bench",Intermediate,"Steps : 
_x000D_
1.) Lie down on a bench with your head at one end.
_x000D_
2.) Grasp a barbell with an underhand grip.
_x000D_
3.) Move your arms beyond your head and keep them in a straight line.
_x000D_
4.) Bending only your elbows, slowly lower and raise the barbell.","['604', '605']",https://www.jefit.com/exercises/20/Cable-Rear-Lateral-Raise
Cable Seated Row,Abs,Lower Abs,,Strength,Isolation,Machine,Beginner,"Steps : 
_x000D_
1.) Kneel below a high pulley that contains a rope attachment.
_x000D_
2.) Grasp cable rope attachment and lower the rope until your hands are near your cheeks. 
_x000D_
3.) Crunch down with your abs so that your face gets very close to the ground.
_x000D_
4.) Kneel back up slowly and inhale.  
_x000D_
5.) Repeat for the desired amount of reps.
_x000D_
Tips : 
_x000D_
1.) For a more intense work out go at a slower pace.","['316', '317']",https://www.jefit.com/exercises/21/Cable-Seated-Row
Cable Shrug,Chest,,,Strength,Isolation,"Bench , Machine - Strength",Beginner,"Steps : 
_x000D_
1.) Start off laying back on an decline bench facing away from a cable machine.
_x000D_
2.) Grab two cables and hold it both hands in an overhand grip, bringing the cables to about level with your pecs and elbows bent at 90 degrees.
_x000D_
3.) Once in position, slowly press and extend your arms straight out until you feel tension in your chest, and hold for a count.
_x000D_
4.) Repeat for as many reps and sets desired.","['2920', '2921']",https://www.jefit.com/exercises/22/Cable-Shrug
Cable Up Right Row,Chest,,Shoulders,Strength,Isolation,Machine,Intermediate,"Steps :
_x000D_
1.) Start off setting up handles on a low pulley cable machine, standing in between the machines, grabbing the handles with both hands and keeping your arms at your sides.
_x000D_
2.) Slowly bring the handles together in front of your body at about waist level and squeeze your lower chest.
_x000D_
3.) Hold for a count then return back to the starting position.
_x000D_
4.) Repeat for as many reps and sets as desired.","['4236', '4237']",https://www.jefit.com/exercises/23/Cable-Up-Right-Row
Dip,Triceps,,,Strength,Isolation,Machine,Beginner,"Steps :
_x000D_
1.) Start off setting up a high cable pulley machine with a rope extension and stand with your back facing the machine, grabbing the rope with a neutral grip.
_x000D_
2.) Bend down at the waist so that your body is almost parallel with the floor and keep a staggered position so that one leg is in front of the other.
_x000D_
3.) Keeping your hands close together, push the rope out in front of you until your arms are fully extended, squeezing your triceps and hold for a count.
_x000D_
4.) Return back to the starting position.
_x000D_
5.) Repeat for as many reps and sets as desired.","['4684', '4685']",https://www.jefit.com/exercises/24/Dip
Dumbbell Arnold Press,Chest,,Shoulders,Strength,Isolation,Machine,Beginner,"Steps : 
_x000D_
1.) Start off setting up two handles on two high cable pulley machine and stand in between the machines with your hands extended out gripping the handles above your body.
_x000D_
2.) Slowly bring the handles down and together in front of your body, squeezing your chest and hold for a count.
_x000D_
3.) Return the handles back to the starting position.
_x000D_
4.) Repeat for as many reps and sets as desired.","['4224', '4225']",https://www.jefit.com/exercises/25/Dumbbell-Arnold-Press
Dumbbell Bench Press,Triceps,,,Strength,Isolation,Machine,Beginner,"Steps :
_x000D_
1.) Start off setting up a handle on a low pulley cable machine, facing the machine with your back bent keeping it parallel with the ground.
_x000D_
2.) Grab the handle, bring it to your side and tuck your elbow in towards your body.
_x000D_
3.) Slowly extend your arm back as far as possible, squeezing your tricep and hold for a count.
_x000D_
4.) Return back to the starting position.
_x000D_
5.) Repeat for as many reps and sets as desired.","['4656', '4657']",https://www.jefit.com/exercises/26/Dumbbell-Bench-Press
Dumbbell Bent Over Delt Raise,Abs,,,Strength,Isolation,"Machine - Strength , Exercise Ball",Intermediate,"Steps : 
_x000D_
1.) Start off by laying down on your back on an exercise ball, keeping your feet about shoulder width apart and maintaining a straight spine next to a cable machine.
_x000D_
2.) Grab a cable with both of your hands then bring your arms out straight in front of you.
_x000D_
3.) Slowly rotate your core to the side opposite of the machine, feeling tension in your abs, then return back to the starting position and then towards the machine.
_x000D_
4.) Repeat from side to side for as many reps and sets as desired.","['2968', '2969']",https://www.jefit.com/exercises/27/Dumbbell-Bent-Over-Delt-Raise
Dumbbell Cuban Press,Lower Legs,,,Strength,Isolation,Machine,Beginner,"Steps :
_x000D_
1.) Start off sitting down on a leg press machine, placing the balls of your feet on the bottom of the platform in front of you with a narrow width spacing and selecting the weight you would like to perform.
_x000D_
2.) Slowly, using yourcalves, push against the platform so that you move backwards, feeling a stretch in your legs and hold for a count.
_x000D_
3.) Return back to the starting position.
_x000D_
4.) Repeat for as many reps and sets as desired.","['5016', '5017']",https://www.jefit.com/exercises/28/Dumbbell-Cuban-Press
Dumbbell Front Raise,Back,,,Strength,Isolation,Machine,Beginner,"Steps :
_x000D_
1.) Start off sitting on a vertical row machine grabbing the handles with a hammer, neutral, grip and keep your feet flat on the floor in front of you.
_x000D_
2.) Once in position, slowly pull the handles in towards your sides, squeezing your back and lat muscles, and hold for a count.
_x000D_
3.) Return back to the starting position.
_x000D_
4.) Repeat for as many reps and sets as desired.","['5064', '5065']",https://www.jefit.com/exercises/29/Dumbbell-Front-Raise
Dumbbell Hammer Grip Incline Bench Press,Abs,,"Chest , Shoulders",Stretching,Compound,Body,Intermediate,"Steps : 
_x000D_
1.) Start off this position in a squat with your feet close together.
_x000D_
2.) Take your hands and place them on the floor shoulder width apart with your fingers facing forward.
_x000D_
3.) Bend your knees, bring them right next to your upper arms and then keep your feet close together moving onto your tiptoes.
_x000D_
4.) Once set in this position, lean your body forward allowing the transfer of your weight to move from your toes to your palms.
_x000D_
5.) Lift up with your ab muscles and arch your hips towards the ceiling moving your feet closer together near your buttocks.
_x000D_
6.) Keep your ab muscles and legs in, straightening out your arms and hold this position for up to 5 breaths.
_x000D_
7.) Slowly come down to the starting position and repeat.","['2032', '2033']",https://www.jefit.com/exercises/30/Dumbbell-Hammer-Grip-Incline-Bench-Press
Dumbbell Incline Bench Press,Abs,,"Back , Glutes",Stretching,Compound,Body,Beginner,"Steps : 
_x000D_
1.) Start by sitting cross legged and keep your ankles positioned underneath the knees.
_x000D_
2.) Take your fingertips on your right hand and place them on the floor in front of you whilst your left fingertips are placed behind your body.
_x000D_
3.) With fingers in place put pressure down on the ground, twisting to your left or right, using more of your spine in the motion, and exhale to keep twisting deeper.
_x000D_
4.) Hold this position for up to 10 breaths keeping your spine up straight so that your neck and head are aligned over your hips then return back to the starting position.
_x000D_
5.) Repeat this pose but in the opposite direction.","['2028', '2029']",https://www.jefit.com/exercises/31/Dumbbell-Incline-Bench-Press
Dumbbell Lateral Raise,Triceps,,"Shoulders , Chest",Strength,Compound,Machine,Beginner,"Steps : 
_x000D_
1.) To begin this exercise; start off sitting upon a dip machine and grabbing the handles. (Select the type of weight that you want to use)
_x000D_
2.) The most important aspect of this exercise is to keep your elbows close to the inside as you focus more upon the triceps.
_x000D_
3.) Push down upon the hands and squeeze tightly upon your triceps for a few seconds, then return back to the starting position.
_x000D_
4.) Repeat this exercise for as many repetitions as needed.","['1836', '1837']",https://www.jefit.com/exercises/32/Dumbbell-Lateral-Raise
Dumbbell Lying One Arm Lateral Raise - Abs - Intermediate,Abs,,"Glutes , Shoulders",Strength,Isolation,Body,Intermediate,"Steps : 
_x000D_
1.) Start off laying on your back with both legs extended up towards the ceiling, directly over your hips, keeping your arms rested at your side.
_x000D_
2.) Flex your body forward letting your head and shoulders curl up off of the floor and bringing your chest to your pelvis.
_x000D_
3.) Then raise your arms up off of the floor and keep them at level with your shoulders, moving them up and down rapidly but in a controlled motion.
_x000D_
4.) Return back to the starting position and repeat for as many reps and sets desired.","['2564', '2565']",https://www.jefit.com/exercises/33/Dumbbell-Lying-One-Arm-Lateral-Raise
Dumbbell Lying Rear Lateral Raise,Abs,,"Shoulders , Upper Legs",Strength,Compound,Bench,Expert,"Steps :
_x000D_
1.) Start off laying on a decline or flat bench and grabbing the end of it behind your head with both hands.
_x000D_
2.) Squeeze and create tension throughout your body so that you are able to feel your muscles and abdominals tighten
_x000D_
3.) Then from the starting position swing your feet upward so that your body is almost vertical or completely vertical.
_x000D_
4.) Keep your abdominals tight and your entire body as straight as possible as you are pointed up in the air.
_x000D_
5.) Hold this position for as long as possible, squeezing your muscles and abs as much as you can.
_x000D_
6.) Once you complete your rep, slowly lower your feet towards the floor in a controlled manner.
_x000D_
7.) Repeat for as many reps and sets as desired.","['5256', '5257']",https://www.jefit.com/exercises/34/Dumbbell-Lying-Rear-Lateral-Raise
Dumbbell One Arm Shoulder Press - Upper Legs,Upper Legs,,"Glutes , Lower Legs",Strength,Compound,"Bench , Dumbbell",Beginner,"Steps :
_x000D_
1.) Start off by setting up a decline bench in front of you, placing your right foot on the bench keeping your leg extended and holding a dumbbell at your sides.
_x000D_
2.) Then slowly, while keeping your balance, lunge forward and squat down so that you feel a stretch in your quads, hold for a count then return back up to the starting position.
_x000D_
3.) Repeat for as many reps and sets as desired.","['4896', '4897']",https://www.jefit.com/exercises/35/Dumbbell-One-Arm-Shoulder-Press
Dumbbell One Arm Up Right Row,Chest,,,Strength,Isolation,"Dumbbell , Exercise Ball",Intermediate,"Steps : 
_x000D_
1.) Start by sitting on an exercise ball with a dumbbell in each hand.
_x000D_
2.) Slowly roll down making sure that your head and shoulders are on the ball and your feet are planted firmly on the floor in front of you.
_x000D_
3.) Hold the dumbbell straight over your chest then let them lower down, bending the elbows slightly so that they are just above shoulder level.
_x000D_
4.) Return back to the starting position and repeat for as many reps and sets desired.","['2472', '2473']",https://www.jefit.com/exercises/36/Dumbbell-One-Arm-Up-Right-Row
Dumbbell Raise,Chest,,,Strength,Isolation,"Dumbbell , Exercise Ball",Intermediate,"Steps :
_x000D_
1.) Start off by laying down on an exercise ball in an incline position with your feet flat on the floor and holding a dumbbell in one hand with arm extended straight over your chest.
_x000D_
2.) Then slowly lower your arm until it is at about shoulder level, keeping a 90 degree angle in your arm until you feel tension in your chest.
_x000D_
3.) Hold this position for a count then return back to the starting position.
_x000D_
4.) Repeat for as many reps and sets as desired.","['2904', '2905']",https://www.jefit.com/exercises/37/Dumbbell-Raise
Dumbbell Rear Delt Row,Chest,,Abs,Strength,Isolation,"Dumbbell , Exercise Ball",Intermediate,"Steps :
_x000D_
1.) Start by sitting on an exercise ball with a dumbbell in each hand.
_x000D_
2.) Slowly roll down making sure that your head and shoulders are on the ball and your feet are planted firmly on the floor in front of you.
_x000D_
3.) Lift your hips up so that they are lower than your knees and shoulders, so that you are in an incline position.
_x000D_
4.) Take the dumbbells so that they are positioned over your chest with palms facing away from you and then lower them so that your arms are in a bent position.
_x000D_
5.) Stop when your arms are in the same level as your shoulders, hold for a count and then return back to the starting position.
_x000D_
6.) Repeat for as many reps and sets as desired.","['2884', '2885']",https://www.jefit.com/exercises/38/Dumbbell-Rear-Delt-Row
Dumbbell Decline Bench Press,Lower Legs,,"Upper Legs , Lower Legs",Stretching,Compound,Bands,Beginner,"Steps : 
_x000D_
1.) Start off by lying down on the ground face up and placing a rope over the ball of one of your feet.
_x000D_
2.) Bend your knee and pull on the rope to extend your foot backwards, breathing out while in this motion.
_x000D_
3.) Hold for 2 to 5 seconds, then release and start on the opposite foot.","['2180', '2181']",https://www.jefit.com/exercises/39/Dumbbell-Decline-Bench-Press
Dumbbell Decline Fly,Abs,,Chest,Stretching,,Body,Beginner,"Steps :
_x000D_
1.) Start off by sitting on your knees without placing your glutes on your heels.
_x000D_
2.) Take the palms of your hands and place them on the upper hamstrings, arch back your shoulder blades and press your hips forward.
_x000D_
3.) Keep in this position for up to 5 breaths and then release.
_x000D_
4.) Return back to the starting position and repeat.","['2012', '2013']",https://www.jefit.com/exercises/40/Dumbbell-Decline-Fly
Dumbbell Fly,Chest,,,Strength,Isolation,Body,Intermediate,"Steps :
_x000D_
1.) Start off by getting into a push up position, keeping your legs extended and toes on the floor behind you.
_x000D_
2.) Perform a forceful push up so that you have enough momentum and strength to bring your hands up off of the floor.
_x000D_
3.) While you are elevated off of the floor, clap your hands together and land back on your hands shoulder width apart.
_x000D_
4.) Repeat for as many reps and sets as desired.","['2908', '2909']",https://www.jefit.com/exercises/41/Dumbbell-Fly
Dumbbell Shoulder Shrug,Chest,,,Strength,Isolation,"Dumbbell , Exercise Ball",Intermediate,"Steps :
_x000D_
1.) Start off by laying down on an exercise ball with your feet flat on the floor and holding a dumbbell in one hand with arm extended straight over your chest.
_x000D_
2.) Then slowly lower your arm until it is at about shoulder level, keeping a 90 degree angle in your arm until you feel tension in your chest.
_x000D_
3.) Hold this position for a count then return back to the starting position.
_x000D_
4.) Repeat for as many reps and sets as desired.","['2872', '2873']",https://www.jefit.com/exercises/42/Dumbbell-Shoulder-Shrug
Dumbbell Upright Row,Upper Legs,Hamstrings,"Lower Legs , Glutes",Strength,Compound,Dumbbell,Beginner,"The pile squat is a version of the squat exercise that is performed with a dumbbell and strengthens the glute, abdominal and leg muscles.
_x000D_
Steps : 
_x000D_
1.) Start off standing with your feet 2-4 inches wider than your shoulders, with your toes pointed out at a 45 degree angle.
_x000D_
2.) Grab onto a dumbbell with both hands in the center of your body making sure that you keep your knees slightly bent and your back straight.
_x000D_
3.) Squat down as if you were going to sit in a chair, bringing your thighs parallel to the floor.
_x000D_
4.) With a controlled motion return to starting position.
_x000D_
5.) Repeat for as many reps and sets as desired.","['852', '853']",https://www.jefit.com/exercises/43/Dumbbell-Upright-Row
Leg Raise,Abs,Lower Abs,,Strength,Compound,Body,Beginner,"The leg raise exercise helps work and strengthen your lower abs which are typically a hard muscle to target.
_x000D_
Steps : 
_x000D_
1.) Start off either lying on a flat bench or lying down on the floor, keeping your hands under your hips to support your back as this will be the starting position of the exercise.
_x000D_
2.) Once in position, keep your feet together and your toes pointed out, slowly raise your legs up towards the ceiling squeezing your ab muscles in the process.
_x000D_
3.) Continue on the motion upward while squeezing your lower abs then once you reach the top position, pause and hold for a count, then slowly return back to the starting position in a controlled manner.
_x000D_
Tips :
_x000D_
1.) You don't have to have a large range of motion for this exercise for it to be effective.","['176', '177']",https://www.jefit.com/exercises/44/Leg-Raise
Machine Fly,Chest,Outer Chest,,Strength,Compound,Machine,Beginner,"The butterfly machine exercise is an easy way to target your chest and inner chest muscles.
_x000D_
Steps : 
_x000D_
1.) Start off sitting on the fly machine with your back flat against the padding and forearms up against the pads.
_x000D_
2.) Slowly and concentrate of pushing the pads together and squeezing your chest muscles.
_x000D_
3.) Once you reach the middle position of the motion, hold for a count, squeezing your chest muscles, then return back to the starting position
_x000D_
Tips : 
_x000D_
1.) Make sure that you focus on using your chest for this exercise.
_x000D_
2.) Refrain from using your biceps or shoulders and focus on squeezing the inner part of your chest.","['180', '181']",https://www.jefit.com/exercises/45/Machine-Fly
Machine Shoulder Press,Shoulders,Traps,"Chest , Triceps",Strength,Compound,Machine,Beginner,"The shoulder press machine exercise works the shoulder muscles, mainly the deltoid muscles.
_x000D_
Steps : 
_x000D_
1.) Start off sitting up straight with your abs kept tight, grabbing the handles or bar with both hands.
_x000D_
2.) Once you have a hold on the handles or bar, using a smooth motion, press the bar upward extending your arms.
_x000D_
3.) At the top position of the exercise, squeeze your shoulder muscles and hold for a count, then return back to the starting position.

_x000D_
Tips :
_x000D_
1.) You want to make sure that you are sitting upright and adjust the handles of the machine so that they are level with your shoulders.","['184', '185']",https://www.jefit.com/exercises/46/Machine-Shoulder-Press
Push Up,Chest,Full,Triceps,Strength,Compound,Body,Beginner,"The push up exercise is one of the best exercises available for building a strong chest, arms, core and back.
_x000D_
Steps : 
_x000D_
1.) Start off by lying face down on the floor or on a mat with your feet together and arms shoulder width apart.
_x000D_
2.) Slowly draw your abs in, inhale and raise your body off of the floor until your arms are straight, keeping your head and neck level with your body as this will be your starting position.
_x000D_
3.) As you lower yourself down towards the ground, exhale until your chest almost touches the ground and you feel a stretch in your chest muscles.
_x000D_
4.) Hold for a count at the bottom position and then return back up to the starting position.
_x000D_
Tips :
_x000D_
1.) A close grip works more of the inner pectorals and a wide grip works more of the outer pectorals.","['188', '189']",https://www.jefit.com/exercises/47/Push-Up
Dumbbell Shoulder Press,Shoulders,,,Strength,Isolation,"Bench , Dumbbell",Intermediate,"Steps :
_x000D_
1.) Start off setting up an flat bench with your chest rested upon the bench, feet extended behind you, holding a dumbbell in one hand, and arms rested down towards the floor.
_x000D_
2.) Slowly, using your shoulders, raise your arm up towards the ceiling, squeezing on the way up and hold for a count.
_x000D_
3.) Return back to the starting position.
_x000D_
4.) Repeat for as many reps and sets as desired.","['4564', '4565']",https://www.jefit.com/exercises/48/Dumbbell-Shoulder-Press
Smith Machine Rear Delt Row,Shoulders,Traps,Back,Strength,Compound,Machine,Beginner,"The smith machine rear deltoid row is a great exercise that works your upper back to help improve posture.
_x000D_
Steps : 
_x000D_
1.) Start off standing with your feet shoulder-width apart, keeping your knees bend and good posture.
_x000D_
2.) Slowly bend forward at your waist until your chest is parallel with the floor
_x000D_
3.) Grab the bar with an overhand grip, making sure that you keep your chest still and pull the bar up as high as possible.
_x000D_
4.) Hold briefly then lower the the starting position in a controlled manner.
_x000D_
4.) Once you reach the top position, hold for a count and squeeze your back muscles, then return back to the starting position.
_x000D_
Tips :
_x000D_
1.) Make sure when doing this exercise you perform it with a weight that you are able to manage.
_x000D_
2.) Maintain good form and posture so that you don't injure your back.","['196', '197']",https://www.jefit.com/exercises/49/Smith-Machine-Rear-Delt-Row
Smith Machine Shrug,Shoulders,Traps,,Strength,Isolation,Machine,Beginner,"The smith machine shrug exercise is a safer alternative of the shrug exercise, especially if you are performing heavier weights as you are able to do drop sets without worrying about sustaining an injury, as well as being able to lock the bar at a height that is easily able to be lifted off from.
_x000D_
Steps :
_x000D_
1.) Start off setting up the smith machine with weight that you can perform and locking the bar at mid thigh level.
_x000D_
2.) Stand up straight in front of the bar and grip the bar so that your palms are facing in towards your body, then slowly lift the bar up by contracting your traps until the top of your shoulders are level with your jaw.
_x000D_
3.) Hold this position for a count, squeezing your shoulder muscles then return back to the starting position.
_x000D_
Tips :
_x000D_
1.) Make sure that you perform this exercise in a slow manner to get the best results.","['200', '201']",https://www.jefit.com/exercises/50/Smith-Machine-Shrug
